index,datetime,rental quantity
2020-05-01,2020-05-01,2969
2020-05-02,2020-05-02,9028
2020-05-03,2020-05-03,3663
2020-05-04,2020-05-04,3718
2020-05-05,2020-05-05,2374
2020-05-06,2020-05-06,1385
2020-05-07,2020-05-07,3935
2020-05-08,2020-05-08,1818
2020-05-09,2020-05-09,2913
2020-05-10,2020-05-10,5827
2020-05-11,2020-05-11,2259
2020-05-12,2020-05-12,3028
2020-05-13,2020-05-13,4145
2020-05-14,2020-05-14,3610
2020-05-15,2020-05-15,5818
2020-05-16,2020-05-16,9019
2020-05-17,2020-05-17,5659
2020-05-18,2020-05-18,2941
2020-05-19,2020-05-19,3202
2020-05-20,2020-05-20,3417
2020-05-21,2020-05-21,3730
2020-05-22,2020-05-22,3058
2020-05-23,2020-05-23,9172
2020-05-24,2020-05-24,6339
2020-05-25,2020-05-25,8857
2020-05-26,2020-05-26,4927
2020-05-27,2020-05-27,4802
2020-05-28,2020-05-28,3471
2020-05-29,2020-05-29,5615
2020-05-30,2020-05-30,10739
2020-05-31,2020-05-31,7613
2020-06-01,2020-06-01,5013
2020-06-02,2020-06-02,5386
2020-06-03,2020-06-03,6515
2020-06-04,2020-06-04,5165
2020-06-05,2020-06-05,5044
2020-06-06,2020-06-06,15482
2020-06-07,2020-06-07,10635
2020-06-08,2020-06-08,7018
2020-06-09,2020-06-09,6756
2020-06-10,2020-06-10,5411
2020-06-11,2020-06-11,4700
2020-06-12,2020-06-12,7424
2020-06-13,2020-06-13,12100
2020-06-14,2020-06-14,10335
2020-06-15,2020-06-15,6042
2020-06-16,2020-06-16,6203
2020-06-17,2020-06-17,2911
2020-06-18,2020-06-18,5902
2020-06-19,2020-06-19,7259
2020-06-20,2020-06-20,6305
2020-06-21,2020-06-21,9037
2020-06-22,2020-06-22,4959
2020-06-23,2020-06-23,6190
2020-06-24,2020-06-24,7401
2020-06-25,2020-06-25,6074
2020-06-26,2020-06-26,8098
2020-06-27,2020-06-27,9058
2020-06-28,2020-06-28,8590
2020-06-29,2020-06-29,6368
2020-06-30,2020-06-30,6666
2020-07-01,2020-07-01,6388
2020-07-02,2020-07-02,7456
2020-07-03,2020-07-03,8492
2020-07-04,2020-07-04,11271
2020-07-05,2020-07-05,7002
2020-07-06,2020-07-06,4983
2020-07-07,2020-07-07,5765
2020-07-08,2020-07-08,6720
2020-07-09,2020-07-09,6695
2020-07-10,2020-07-10,7542
2020-07-11,2020-07-11,10172
2020-07-12,2020-07-12,8634
2020-07-13,2020-07-13,6657
2020-07-14,2020-07-14,7104
2020-07-15,2020-07-15,7192
2020-07-16,2020-07-16,7413
2020-07-17,2020-07-17,7881
2020-07-18,2020-07-18,9902
2020-07-19,2020-07-19,7922
2020-07-20,2020-07-20,5466
2020-07-21,2020-07-21,5901
2020-07-22,2020-07-22,4471
2020-07-23,2020-07-23,6487
2020-07-24,2020-07-24,7104
2020-07-25,2020-07-25,11069
2020-07-26,2020-07-26,8645
2020-07-27,2020-07-27,6858
2020-07-28,2020-07-28,7032
2020-07-29,2020-07-29,7548
2020-07-30,2020-07-30,6390
2020-07-31,2020-07-31,6185
2020-08-01,2020-08-01,10999
2020-08-02,2020-08-02,9420
2020-08-03,2020-08-03,4784
2020-08-04,2020-08-04,5730
2020-08-05,2020-08-05,8473
2020-08-06,2020-08-06,6078
2020-08-07,2020-08-07,8048
2020-08-08,2020-08-08,12020
2020-08-09,2020-08-09,9528
2020-08-10,2020-08-10,6722
2020-08-11,2020-08-11,7386
2020-08-12,2020-08-12,6159
2020-08-13,2020-08-13,5757
2020-08-14,2020-08-14,8221
2020-08-15,2020-08-15,9181
2020-08-16,2020-08-16,7136
2020-08-17,2020-08-17,6328
2020-08-18,2020-08-18,8185
2020-08-19,2020-08-19,7136
2020-08-20,2020-08-20,8336
2020-08-21,2020-08-21,8729
2020-08-22,2020-08-22,10862
2020-08-23,2020-08-23,10015
2020-08-24,2020-08-24,6694
2020-08-25,2020-08-25,6831
2020-08-26,2020-08-26,8414
2020-08-27,2020-08-27,8684
2020-08-28,2020-08-28,10632
2020-08-29,2020-08-29,8563
2020-08-30,2020-08-30,12479
2020-08-31,2020-08-31,4073
2020-09-01,2020-09-01,7225
2020-09-02,2020-09-02,7051
2020-09-03,2020-09-03,5572
2020-09-04,2020-09-04,8833
2020-09-05,2020-09-05,12904
2020-09-06,2020-09-06,12346
2020-09-07,2020-09-07,10589
2020-09-08,2020-09-08,7053
2020-09-09,2020-09-09,4834
2020-09-10,2020-09-10,4080
2020-09-11,2020-09-11,8582
2020-09-12,2020-09-12,10669
2020-09-13,2020-09-13,10929
2020-09-14,2020-09-14,7384
2020-09-15,2020-09-15,7571
2020-09-16,2020-09-16,7671
2020-09-17,2020-09-17,4965
2020-09-18,2020-09-18,9415
2020-09-19,2020-09-19,12753
2020-09-20,2020-09-20,10646
2020-09-21,2020-09-21,7085
2020-09-22,2020-09-22,7502
2020-09-23,2020-09-23,8783
2020-09-24,2020-09-24,8043
2020-09-25,2020-09-25,6638
2020-09-26,2020-09-26,10101
2020-09-27,2020-09-27,9802
2020-09-28,2020-09-28,7192
2020-09-29,2020-09-29,6140
2020-09-30,2020-09-30,7541
2020-10-01,2020-10-01,6869
2020-10-02,2020-10-02,8502
2020-10-03,2020-10-03,12111
2020-10-04,2020-10-04,9026
2020-10-05,2020-10-05,6654
2020-10-06,2020-10-06,7334
2020-10-07,2020-10-07,8128
2020-10-08,2020-10-08,7637
2020-10-09,2020-10-09,8982
2020-10-10,2020-10-10,11612
2020-10-11,2020-10-11,5151
2020-10-12,2020-10-12,3133
2020-10-13,2020-10-13,6795
2020-10-14,2020-10-14,7602
2020-10-15,2020-10-15,7910
2020-10-16,2020-10-16,5213
2020-10-17,2020-10-17,11104
2020-10-18,2020-10-18,9020
2020-10-19,2020-10-19,6648
2020-10-20,2020-10-20,7199
2020-10-21,2020-10-21,7072
2020-10-22,2020-10-22,7443
2020-10-23,2020-10-23,8719
2020-10-24,2020-10-24,11626
2020-10-25,2020-10-25,3012
2020-10-26,2020-10-26,5755
2020-10-27,2020-10-27,6465
2020-10-28,2020-10-28,7183
2020-10-29,2020-10-29,2194
2020-10-30,2020-10-30,6481
2020-10-31,2020-10-31,7252
2020-11-01,2020-11-01,3676
2020-11-02,2020-11-02,4470
2020-11-03,2020-11-03,6828
2020-11-04,2020-11-04,5543
2020-11-05,2020-11-05,6147
2020-11-06,2020-11-06,7765
2020-11-07,2020-11-07,14635
2020-11-08,2020-11-08,9918
2020-11-09,2020-11-09,6259
2020-11-10,2020-11-10,7113
2020-11-11,2020-11-11,2048
2020-11-12,2020-11-12,3515
2020-11-13,2020-11-13,7053
2020-11-14,2020-11-14,9531
2020-11-15,2020-11-15,5825
2020-11-16,2020-11-16,5324
2020-11-17,2020-11-17,4383
2020-11-18,2020-11-18,4148
2020-11-19,2020-11-19,4477
2020-11-20,2020-11-20,6014
2020-11-21,2020-11-21,7804
2020-11-22,2020-11-22,5771
2020-11-23,2020-11-23,3968
2020-11-24,2020-11-24,4391
2020-11-25,2020-11-25,4165
2020-11-26,2020-11-26,4191
2020-11-27,2020-11-27,5687
2020-11-28,2020-11-28,6899
2020-11-29,2020-11-29,5629
2020-11-30,2020-11-30,2258
2020-12-01,2020-12-01,3417
2020-12-02,2020-12-02,3600
2020-12-03,2020-12-03,4166
2020-12-04,2020-12-04,3549
2020-12-05,2020-12-05,4651
2020-12-06,2020-12-06,4183
2020-12-07,2020-12-07,3038
2020-12-08,2020-12-08,3298
2020-12-09,2020-12-09,3286
2020-12-10,2020-12-10,3942
2020-12-11,2020-12-11,5055
2020-12-12,2020-12-12,7409
2020-12-13,2020-12-13,6395
2020-12-14,2020-12-14,1649
2020-12-15,2020-12-15,4106
2020-12-16,2020-12-16,1208
2020-12-17,2020-12-17,2706
2020-12-18,2020-12-18,3209
